CPU,minf,mjf,xcal,intr,ithr,csw,icsw,migr,smtx,srw,syscl,usr,sys,st,idl,time
0,0,0,85,285,71,19,0,1,0,0,4,0,1,0,99,04:10:12
1,0,0,26,57,6,63,0,11,1,0,10,0,0,0,100,04:10:12
2,0,0,6,31,11,29,1,1,0,0,6,0,0,0,100,04:10:12
3,0,0,23,52,5,56,0,10,1,0,3,0,0,0,100,04:10:12
4,0,0,5,29,10,28,1,1,0,0,4,0,0,0,100,04:10:12
5,0,0,28,59,9,64,0,11,1,0,10,0,0,0,100,04:10:12
6,0,0,10,38,17,32,1,1,0,0,7,0,0,0,100,04:10:12
7,0,0,24,54,7,56,0,10,1,0,3,0,0,0,100,04:10:12
16,0,0,4,17,5,16,0,1,0,0,3,0,0,0,100,04:10:12
17,0,0,23,52,8,53,0,10,1,0,3,0,0,0,100,04:10:12
18,0,0,9,25,9,24,0,1,1,0,15,0,0,0,100,04:10:12
19,0,0,25,51,5,55,0,10,1,0,6,0,0,0,100,04:10:12
20,0,0,7,28,7,27,0,3,0,0,3,0,0,0,100,04:10:12
21,0,0,23,52,6,54,0,10,1,0,3,0,0,0,100,04:10:12
22,0,0,11,35,9,35,0,4,1,0,11,0,0,0,100,04:10:12
23,0,0,51,131,6,147,0,27,1,0,6,0,1,0,99,04:10:12
32,0,0,10,95,47,77,0,1,1,0,42,0,0,0,100,04:10:12
33,0,0,1,78,38,77,0,1,0,0,39,0,0,0,100,04:10:12
34,0,0,1,81,39,81,0,1,0,0,40,0,0,0,100,04:10:12
35,0,0,4,81,39,80,0,1,1,0,45,0,0,0,100,04:10:12
36,0,0,2,77,37,77,0,1,1,0,41,0,0,0,100,04:10:12
37,0,0,1,78,37,76,0,1,0,0,39,0,0,0,100,04:10:12
38,0,0,1,82,40,80,0,1,0,0,40,0,0,0,100,04:10:12
39,0,0,3,80,38,81,0,1,1,0,45,0,0,0,100,04:10:12
48,0,0,3,79,38,79,0,1,1,0,45,0,0,0,100,04:10:12
49,0,0,2,76,36,76,0,1,1,0,40,0,0,0,100,04:10:12
50,0,0,1,73,35,72,0,1,0,0,37,0,0,0,100,04:10:12
51,0,0,4,77,37,74,0,1,0,0,38,0,0,0,100,04:10:12
52,0,0,4,87,41,88,0,1,1,0,50,0,0,0,100,04:10:12
53,0,0,2,84,41,83,0,1,1,0,45,0,0,0,100,04:10:12
54,0,0,1,82,40,81,0,1,0,0,43,0,0,0,100,04:10:12
55,0,0,14,89,43,92,1,1,1,0,57,0,0,0,100,04:10:12
64,0,0,13,24,1,25,0,6,1,0,2,0,0,0,100,04:10:12
65,0,0,18,40,14,47,0,1,1,0,49,0,0,0,100,04:10:12
66,0,0,19,37,5,42,0,7,1,0,18,0,0,0,100,04:10:12
