 CPU minf mjf xcal  intr ithr  csw icsw migr smtx  srw syscl  usr sys  st idl
   0    0   0   89   288   76   25    0    1    1    0     5    0   1   0  99
   1    0   0   24    63   12   70    0   10    2    0    17    0   0   0 100
   2    0   0    6    46   19   46    1    1    1    0     9    0   0   0 100
   3    0   0   20    53    9   56    0    9    1    0     3    0   0   0 100
   4    0   0    4    45   19   45    1    1    0    0     5    0   0   0 100
   5    0   0   26    65   14   71    0   10    2    0    17    0   0   0 100
   6    0   0   10    56   26   51    1    1    1    0    11    0   1   0  99
   7    0   0   21    57   13   57    0    9    1    0     3    0   0   0 100
  16    0   0    4    26    9   24    0    1    0    0     3    0   0   0 100
  17    0   0   21    55   10   57    0    9    1    0     4    0   0   0 100
  18    0   0   11    38   15   38    0    2    1    0    26    0   0   0 100
  19    0   0   25    57    9   62    0   10    1    0     9    0   0   0 100
  20    0   0    6    36   11   34    0    2    0    0     3    0   0   0 100
  21    0   0   21    56   10   58    0    9    1    0     4    0   0   0 100
  22    0   0   11    45   14   47    1    3    1    0    18    0   0   0 100
  23    0   0   41   110   11  120    0   20    1    0     9    0   1   0  99
  32    0   0   11    98   48   82    0    1    1    0    46    0   0   0 100
  33    0   0    2    82   40   81    0    1    0    0    41    0   0   0 100
  34    0   0    1    88   42   87    0    1    1    0    42    0   0   0  99
  35    0   0    8    86   40   88    0    2    1    0    51    0   0   0 100
  36    0   0    2    80   38   81    0    1    1    0    45    0   0   0 100
  37    0   0    2    82   39   80    0    1    0    0    40    0   0   0 100
  38    0   0    1    87   42   86    0    1    1    0    42    0   0   0 100
  39    0   0    5    86   40   88    0    2    2    0    52    0   0   0 100
  48    0   0    5    85   40   87    0    2    1    0    54    0   0   0 100
  49    0   0    4    81   38   81    0    2    1    0    45    0   0   0 100
  50    0   0    1    75   36   74    0    1    0    0    39    0   0   0 100
  51    0   0    7    80   38   78    0    2    1    0    40    0   0   0 100
  52    0   0    7    95   44   97    0    2    2    0    59    0   0   0 100
  53    0   0    4    88   42   88    0    1    1    0    49    0   0   0 100
  54    0   0    2    85   42   84    0    1    1    0    45    0   0   0 100
  55    1   0   24    98   47  106    3    2    1    0    71    0   0   0  99
  64    0   0   16    29    2   29    0    6    1    0     3    0   0   0 100
  65    0   0   21    41   13   48    0    1    1    0    49    0   0   0 100
  66    0   0   22    41    5   45    0    7    1    0    18    0   0   0 100
  67    0   0    4     7    2    5    0    0    0    0     3    0   0   0 100
  68    0   0   15    29    1   29    0    6    1    0     2    0   0   0 100
  69    1   0   27    41   14   48    0    1    1    0    46    0   0   0 100
  70    0   0   22    42    6   46    0    7    1    0    17    0   0   0 100
  71    0   0    2     7    2    6    0    0    1    0     3    0   0   0 100
  80    0   0   14    29    2   29    0    6    1    0     2    0   0   0 100
  81    0   0    3    36   16   34    1    0    0    0     3    0   0   0 100
  82    1   0   31    58   11   68    0    7    2    0    42    0   0   0 100
  83    0   0   10    28   10   29    0    1    1    0    17    0   0   0 100
  84    0   0   14    29    2   29    0    6    1    0     2    0   0   0 100
  85    0   0    3    33   15   31    0    0    1    0     3    0   0   0 100
  86    0   0   43    58   12   67    0    7    1    0    40    0   0   0 100
  87    0   0   10    26    9   27    0    1    1    0    17    0   0   0 100
  96    0   0   20    40    6   44    0    6    1    0    28    0   0   0 100
  97    0   0    2    11    3   10    0    0    0    0     4    0   0   0 100
  98    0   0   14    26    1   28    0    6    1    0     2    0   0   0 100
  99    0   0   18    44   15   51    0    1    2    0    50    0   0   0 100
 100    0   0   22    40    6   44    0    6    1    0    17    0   0   0 100
 101    0   0    4     8    2    7    0    0    0    0     2    0   0   0 100
 102    0   0   15    28    2   28    0    6    1    0     2    0   0   0 100
 103    0   0   20    42   14   49    0    1    1    0    46    0   0   0 100
 112    0   0   30    63   13   73    0    8    2    0    44    0   0   0  99
 113    0   0   10    19    5   21    0    1    1    0    18    0   0   0 100
 114    0   0   14    27    1   28    0    6    0    0     2    0   0   0 100
 115    0   0    3     6    1    4    0    0    0    0     2    0   0   0 100
 116    0   0   35    63   13   73    0    7    1    0    43    0   0   0 100
 117    0   0   11    21    6   23    0    1    1    0    21    0   0   0 100
 118    0   0   14    29    2   30    0    6    1    0     2    0   0   0 100
 119    0   0    3     6    1    5    0    0    1    0     3    0   0   0 100
